รหัสยืนยัน,สถานะ,รหัส_นศ,วิเคราะห์ประเด็น,หลักฐาน,มุมมอง,เชื่อมโยง,สรุป,คะแนนรวม,จำนวนรอบ,การคัดลอก,V_ที่ได้,V_ที่ถูกต้อง,หมายเหตุ
TK-0158-44444-5R-0C-V64-D26,ไม่ถูกต้อง,158,4,4,4,4,4,20,5,0,V64,V13,V code ไม่ตรง: ได้ V64 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0026-33343-5R-0C-V05-D26,ไม่ถูกต้อง,26,3,3,3,4,3,16,5,0,V05,V93,V code ไม่ตรง: ได้ V05 แต่ควรเป็น V93 → อาจเป็นรหัสปลอม!
TK-0159-43344-5R-0C-V00-D26,ไม่ถูกต้อง,159,4,3,3,4,4,18,5,0,V00,V07,V code ไม่ตรง: ได้ V00 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0143-44444-5R-0C-V00-D26,ไม่ถูกต้อง,143,4,4,4,4,4,20,5,0,V00,V07,V code ไม่ตรง: ได้ V00 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0096-34344-5R-0C-V46-D26,ไม่ถูกต้อง,96,3,4,3,4,4,18,5,0,V46,V09,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0380-33343-5R-0C-V42-D26,ไม่ถูกต้อง,380,3,3,3,4,3,16,5,0,V42,V96,V code ไม่ตรง: ได้ V42 แต่ควรเป็น V96 → อาจเป็นรหัสปลอม!
TK-0494-43444-5R-0C-V42-D26,ไม่ถูกต้อง,494,4,3,4,4,4,19,5,0,V42,V11,V code ไม่ตรง: ได้ V42 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0354-44444-5R-0C-V41-D26,ไม่ถูกต้อง,354,4,4,4,4,4,20,5,0,V41,V11,V code ไม่ตรง: ได้ V41 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0524-33333-5R-0C-V13-D26,ไม่ถูกต้อง,524,3,3,3,3,3,15,5,0,V13,V89,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V89 → อาจเป็นรหัสปลอม!
TK-0100-44334-5R-0C-V29-D26,ไม่ถูกต้อง,100,4,4,3,3,4,18,5,0,V29,V91,V code ไม่ตรง: ได้ V29 แต่ควรเป็น V91 → อาจเป็นรหัสปลอม!
TK-0154-43434-5R-0C-V38-D26,ไม่ถูกต้อง,154,4,3,4,3,4,18,5,0,V38,V97,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0180-33334-5R-0C-V27-D26,ไม่ถูกต้อง,180,3,3,3,3,4,16,5,0,V27,V91,V code ไม่ตรง: ได้ V27 แต่ควรเป็น V91 → อาจเป็นรหัสปลอม!
TK-0121-44444-5R-0C-V93-D26,ไม่ถูกต้อง,121,4,4,4,4,4,20,5,0,V93,V03,V code ไม่ตรง: ได้ V93 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0101-44333-5R-0C-V15-D26,ไม่ถูกต้อง,101,4,4,3,3,3,17,5,0,V15,V88,V code ไม่ตรง: ได้ V15 แต่ควรเป็น V88 → อาจเป็นรหัสปลอม!
TK-0171-33444-6R-0C-V60-D26,ไม่ถูกต้อง,171,3,3,4,4,4,18,6,0,V60,V03,V code ไม่ตรง: ได้ V60 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-2223-43344-5R-0C-V95-D26,ไม่ถูกต้อง,2223,4,3,3,4,4,18,5,0,V95,V01,V code ไม่ตรง: ได้ V95 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0716-43444-5R-0C-V90-D26,ไม่ถูกต้อง,716,4,3,4,4,4,19,5,0,V90,V08,V code ไม่ตรง: ได้ V90 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0239-43344-5R-0C-V64-D26,ไม่ถูกต้อง,239,4,3,3,4,4,18,5,0,V64,V06,V code ไม่ตรง: ได้ V64 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0010-43444-6R-0C-V14-D26,ไม่ถูกต้อง,10,4,3,4,4,4,19,6,0,V14,V98,V code ไม่ตรง: ได้ V14 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0053-43444-5R-0C-V17-D26,ไม่ถูกต้อง,53,4,3,4,4,4,19,5,0,V17,V02,V code ไม่ตรง: ได้ V17 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0190-43444-5R-0C-V60-D26,ไม่ถูกต้อง,190,4,3,4,4,4,19,5,0,V60,V04,V code ไม่ตรง: ได้ V60 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0243-33343-5R-0C-V83-D26,ไม่ถูกต้อง,243,3,3,3,4,3,16,5,0,V83,V94,V code ไม่ตรง: ได้ V83 แต่ควรเป็น V94 → อาจเป็นรหัสปลอม!
TK-0606-44444-5R-0C-V53-D26,ไม่ถูกต้อง,606,4,4,4,4,4,20,5,0,V53,V11,V code ไม่ตรง: ได้ V53 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0174-44444-5R-0C-V14-D26,ไม่ถูกต้อง,174,4,4,4,4,4,20,5,0,V14,V11,V code ไม่ตรง: ได้ V14 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0169-43444-5R-0C-V89-D26,ไม่ถูกต้อง,169,4,3,4,4,4,19,5,0,V89,V10,V code ไม่ตรง: ได้ V89 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0204-34343-5R-0C-V25-D26,ไม่ถูกต้อง,204,3,4,3,4,3,17,5,0,V25,V96,V code ไม่ตรง: ได้ V25 แต่ควรเป็น V96 → อาจเป็นรหัสปลอม!
TK-0025-44443-5R-0C-V06-D26,ไม่ถูกต้อง,25,4,4,4,4,3,19,5,0,V06,V02,V code ไม่ตรง: ได้ V06 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0173-44444-5R-0C-V09-D26,ไม่ถูกต้อง,173,4,4,4,4,4,20,5,0,V09,V10,V code ไม่ตรง: ได้ V09 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0336-43344-5R-0C-V81-D26,ไม่ถูกต้อง,336,4,3,3,4,4,18,5,0,V81,V04,V code ไม่ตรง: ได้ V81 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0135-44444-5R-0C-V76-D26,ไม่ถูกต้อง,135,4,4,4,4,4,20,5,0,V76,V08,V code ไม่ตรง: ได้ V76 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-2081-44444-5R-0C-V34-D26,ไม่ถูกต้อง,2081,4,4,4,4,4,20,5,0,V34,V10,V code ไม่ตรง: ได้ V34 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0159-43444-5R-0C-V38-D26,ไม่ถูกต้อง,159,4,3,4,4,4,19,5,0,V38,V09,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0837-44444-5R-0C-V73-D26,ไม่ถูกต้อง,837,4,4,4,4,4,20,5,0,V73,V17,V code ไม่ตรง: ได้ V73 แต่ควรเป็น V17 → อาจเป็นรหัสปลอม!
TK-0536-44444-5R-0C-V21-D26,ไม่ถูกต้อง,536,4,4,4,4,4,20,5,0,V21,V13,V code ไม่ตรง: ได้ V21 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0685-33344-5R-0C-V78-D26,ไม่ถูกต้อง,685,3,3,3,4,4,17,5,0,V78,V08,V code ไม่ตรง: ได้ V78 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0675-44444-5R-0C-V23-D26,ไม่ถูกต้อง,675,4,4,4,4,4,20,5,0,V23,V17,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V17 → อาจเป็นรหัสปลอม!
TK-0122-44444-5R-0C-V13-D26,ไม่ถูกต้อง,122,4,4,4,4,4,20,5,0,V13,V04,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0166-44444-5R-0C-V01-D26,ไม่ถูกต้อง,166,4,4,4,4,4,20,5,0,V01,V12,V code ไม่ตรง: ได้ V01 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-2061-43444-5R-0C-V39-D26,ไม่ถูกต้อง,2061,4,3,4,4,4,19,5,0,V39,V03,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0636-44444-5R-0C-V09-D26,ไม่ถูกต้อง,636,4,4,4,4,4,20,5,0,V09,V14,V code ไม่ตรง: ได้ V09 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-0055-44444-5R-0C-V20-D26,ไม่ถูกต้อง,55,4,4,4,4,4,20,5,0,V20,V09,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0429-44444-6R-0C-V19-D26,ไม่ถูกต้อง,429,4,4,4,4,4,20,6,0,V19,V17,V code ไม่ตรง: ได้ V19 แต่ควรเป็น V17 → อาจเป็นรหัสปลอม!
TK-0439-44444-5R-0C-V77-D26,ไม่ถูกต้อง,439,4,4,4,4,4,20,5,0,V77,V15,V code ไม่ตรง: ได้ V77 แต่ควรเป็น V15 → อาจเป็นรหัสปลอม!
TK-0118-43444-5R-0C-V54-D26,ไม่ถูกต้อง,118,4,3,4,4,4,19,5,0,V54,V04,V code ไม่ตรง: ได้ V54 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0019-44444-5R-0C-V31-D26,ไม่ถูกต้อง,19,4,4,4,4,4,20,5,0,V31,V09,V code ไม่ตรง: ได้ V31 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-2048-44444-5R-0C-V54-D26,ไม่ถูกต้อง,2048,4,4,4,4,4,20,5,0,V54,V13,V code ไม่ตรง: ได้ V54 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0199-44344-5R-0C-V15-D26,ไม่ถูกต้อง,199,4,4,3,4,4,19,5,0,V15,V16,V code ไม่ตรง: ได้ V15 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0128-43444-5R-0C-V41-D26,ไม่ถูกต้อง,128,4,3,4,4,4,19,5,0,V41,V05,V code ไม่ตรง: ได้ V41 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0126-43344-5R-0C-V27-D26,ไม่ถูกต้อง,126,4,3,3,4,4,18,5,0,V27,V01,V code ไม่ตรง: ได้ V27 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0446-43343-6R-0C-V98-D26,ไม่ถูกต้อง,446,4,3,3,4,3,17,6,0,V98,V05,V code ไม่ตรง: ได้ V98 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0112-44444-5R-0C-V13-D26,ไม่ถูกต้อง,112,4,4,4,4,4,20,5,0,V13,V03,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0109-33343-5R-0C-V48-D26,ไม่ถูกต้อง,109,3,3,3,4,3,16,5,0,V48,V95,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0153-43444-5R-0C-V62-D26,ไม่ถูกต้อง,153,4,3,4,4,4,19,5,0,V62,V03,V code ไม่ตรง: ได้ V62 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0791-43434-5R-0C-V38-D26,ไม่ถูกต้อง,791,4,3,4,3,4,18,5,0,V38,V04,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0025-43443-5R-0C-V44-D26,ไม่ถูกต้อง,25,4,3,4,4,3,18,5,0,V44,V97,V code ไม่ตรง: ได้ V44 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0110-43434-5R-0C-V29-D26,ไม่ถูกต้อง,110,4,3,4,3,4,18,5,0,V29,V89,V code ไม่ตรง: ได้ V29 แต่ควรเป็น V89 → อาจเป็นรหัสปลอม!
TK-2085-43443-5R-0C-V67-D26,ไม่ถูกต้อง,2085,4,3,4,4,3,18,5,0,V67,V05,V code ไม่ตรง: ได้ V67 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-2094-33344-5R-0C-V68-D26,ไม่ถูกต้อง,2094,3,3,3,4,4,17,5,0,V68,V04,V code ไม่ตรง: ได้ V68 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0069-43344-5R-0C-V39-D26,ไม่ถูกต้อง,69,4,3,3,4,4,18,5,0,V39,V07,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0073-44444-5R-0C-V23-D26,ไม่ถูกต้อง,73,4,4,4,4,4,20,5,0,V23,V09,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0298-44444-5R-0C-V56-D26,ไม่ถูกต้อง,298,4,4,4,4,4,20,5,0,V56,V18,V code ไม่ตรง: ได้ V56 แต่ควรเป็น V18 → อาจเป็นรหัสปลอม!
TK-0065-43444-5R-0C-V23-D26,ไม่ถูกต้อง,65,4,3,4,4,4,19,5,0,V23,V05,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0036-43434-5R-0C-V02-D26,ไม่ถูกต้อง,36,4,3,4,3,4,18,5,0,V02,V96,V code ไม่ตรง: ได้ V02 แต่ควรเป็น V96 → อาจเป็นรหัสปลอม!
TK-0384-43343-5R-0C-V74-D26,ไม่ถูกต้อง,384,4,3,3,4,3,17,5,0,V74,V03,V code ไม่ตรง: ได้ V74 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-2034-44444-5R-0C-V15-D26,ไม่ถูกต้อง,2034,4,4,4,4,4,20,5,0,V15,V08,V code ไม่ตรง: ได้ V15 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0048-43344-5R-0C-V06-D26,ไม่ถูกต้อง,48,4,3,3,4,4,18,5,0,V06,V04,V code ไม่ตรง: ได้ V06 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0391-44343-5R-0C-V46-D26,ไม่ถูกต้อง,391,4,4,3,4,3,18,5,0,V46,V06,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0161-43444-5R-0C-V26-D26,ไม่ถูกต้อง,161,4,3,4,4,4,19,5,0,V26,V02,V code ไม่ตรง: ได้ V26 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0486-43344-5R-0C-V34-D26,ไม่ถูกต้อง,486,4,3,3,4,4,18,5,0,V34,V10,V code ไม่ตรง: ได้ V34 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0206-44344-5R-0C-V56-D26,ไม่ถูกต้อง,206,4,4,3,4,4,19,5,0,V56,V05,V code ไม่ตรง: ได้ V56 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-2131-43444-5R-0C-V54-D26,ไม่ถูกต้อง,2131,4,3,4,4,4,19,5,0,V54,V01,V code ไม่ตรง: ได้ V54 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0168-43444-5R-0C-V39-D26,ไม่ถูกต้อง,168,4,3,4,4,4,19,5,0,V39,V09,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0238-44444-5R-0C-V59-D26,ไม่ถูกต้อง,238,4,4,4,4,4,20,5,0,V59,V12,V code ไม่ตรง: ได้ V59 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0209-43443-5R-0C-V88-D26,ไม่ถูกต้อง,209,4,3,4,4,3,18,5,0,V88,V01,V code ไม่ตรง: ได้ V88 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-2203-44344-5R-0C-V39-D26,ไม่ถูกต้อง,2203,4,4,3,4,4,19,5,0,V39,V04,V code ไม่ตรง: ได้ V39 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0193-44444-5R-0C-V38-D26,ไม่ถูกต้อง,193,4,4,4,4,4,20,5,0,V38,V12,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0278-43344-5R-0C-V05-D26,ไม่ถูกต้อง,278,4,3,3,4,4,18,5,0,V05,V09,V code ไม่ตรง: ได้ V05 แต่ควรเป็น V09 → อาจเป็นรหัสปลอม!
TK-0443-44444-5R-0C-V82-D26,ไม่ถูกต้อง,443,4,4,4,4,4,20,5,0,V82,V10,V code ไม่ตรง: ได้ V82 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0163-43444-5R-0C-V72-D26,ไม่ถูกต้อง,163,4,3,4,4,4,19,5,0,V72,V04,V code ไม่ตรง: ได้ V72 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0029-44444-5R-0C-V37-D26,ไม่ถูกต้อง,29,4,4,4,4,4,20,5,0,V37,V10,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0235-43434-5R-0C-V75-D26,ไม่ถูกต้อง,235,4,3,4,3,4,18,5,0,V75,V97,V code ไม่ตรง: ได้ V75 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0211-43343-5R-0C-V72-D26,ไม่ถูกต้อง,211,4,3,3,4,3,17,5,0,V72,V92,V code ไม่ตรง: ได้ V72 แต่ควรเป็น V92 → อาจเป็นรหัสปลอม!
TK-2093-43444-5R-0C-V48-D26,ไม่ถูกต้อง,2093,4,3,4,4,4,19,5,0,V48,V08,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0568-44344-5R-0C-V02-D26,ไม่ถูกต้อง,568,4,4,3,4,4,19,5,0,V02,V16,V code ไม่ตรง: ได้ V02 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0014-44444-5R-0C-V32-D26,ไม่ถูกต้อง,14,4,4,4,4,4,20,5,0,V32,V04,V code ไม่ตรง: ได้ V32 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0175-44444-5R-0C-V37-D26,ไม่ถูกต้อง,175,4,4,4,4,4,20,5,0,V37,V12,V code ไม่ตรง: ได้ V37 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0425-44444-5R-0C-V68-D26,ไม่ถูกต้อง,425,4,4,4,4,4,20,5,0,V68,V10,V code ไม่ตรง: ได้ V68 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0183-44444-6R-0C-V36-D26,ไม่ถูกต้อง,183,4,4,4,4,4,20,6,0,V36,V14,V code ไม่ตรง: ได้ V36 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-2164-43343-5R-0C-V04-D26,ไม่ถูกต้อง,2164,4,3,3,4,3,17,5,0,V04,V01,V code ไม่ตรง: ได้ V04 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0056-44344-5R-0C-V81-D26,ไม่ถูกต้อง,56,4,4,3,4,4,19,5,0,V81,V08,V code ไม่ตรง: ได้ V81 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-2229-44444-5R-0C-V20-D26,ไม่ถูกต้อง,2229,4,4,4,4,4,20,5,0,V20,V14,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-0672-33344-5R-0C-V23-D26,ไม่ถูกต้อง,672,3,3,3,4,4,17,5,0,V23,V04,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V04 → อาจเป็นรหัสปลอม!
TK-0028-43434-5R-0C-V10-D26,ไม่ถูกต้อง,28,4,3,4,3,4,18,5,0,V10,V97,V code ไม่ตรง: ได้ V10 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-0644-43444-5R-0C-V74-D26,ไม่ถูกต้อง,644,4,3,4,4,4,19,5,0,V74,V08,V code ไม่ตรง: ได้ V74 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-2168-34343-5R-0C-V48-D26,ไม่ถูกต้อง,2168,3,4,3,4,3,17,5,0,V48,V07,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0169-43444-5R-0C-V95-D26,ไม่ถูกต้อง,169,4,3,4,4,4,19,5,0,V95,V10,V code ไม่ตรง: ได้ V95 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0100-44444-5R-0C-V23-D26,ไม่ถูกต้อง,100,4,4,4,4,4,20,5,0,V23,V00,V code ไม่ตรง: ได้ V23 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-0584-43444-5R-0C-V02-D26,ไม่ถูกต้อง,584,4,3,4,4,4,19,5,0,V02,V11,V code ไม่ตรง: ได้ V02 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0488-43344-5R-0C-V20-D26,ไม่ถูกต้อง,488,4,3,3,4,4,18,5,0,V20,V12,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-2178-44444-5R-0C-V20-D26,ไม่ถูกต้อง,2178,4,4,4,4,4,20,5,0,V20,V17,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V17 → อาจเป็นรหัสปลอม!
TK-0164-44444-5R-0C-V45-D26,ไม่ถูกต้อง,164,4,4,4,4,4,20,5,0,V45,V10,V code ไม่ตรง: ได้ V45 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0170-43444-5R-0C-V04-D26,ไม่ถูกต้อง,170,4,3,4,4,4,19,5,0,V04,V02,V code ไม่ตรง: ได้ V04 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0008-44444-5R-0C-V41-D26,ไม่ถูกต้อง,8,4,4,4,4,4,20,5,0,V41,V07,V code ไม่ตรง: ได้ V41 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0254-43444-5R-0C-V31-D26,ไม่ถูกต้อง,254,4,3,4,4,4,19,5,0,V31,V05,V code ไม่ตรง: ได้ V31 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0350-33343-5R-0C-V60-D26,ไม่ถูกต้อง,350,3,3,3,4,3,16,5,0,V60,V93,V code ไม่ตรง: ได้ V60 แต่ควรเป็น V93 → อาจเป็นรหัสปลอม!
TK-0045-44444-5R-0C-V61-D26,ไม่ถูกต้อง,45,4,4,4,4,4,20,5,0,V61,V08,V code ไม่ตรง: ได้ V61 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0125-43434-5R-0C-V68-D26,ไม่ถูกต้อง,125,4,3,4,3,4,18,5,0,V68,V95,V code ไม่ตรง: ได้ V68 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0033-44344-5R-0C-V72-D26,ไม่ถูกต้อง,33,4,4,3,4,4,19,5,0,V72,V03,V code ไม่ตรง: ได้ V72 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-2024-43443-5R-0C-V44-D26,ไม่ถูกต้อง,2024,4,3,4,4,3,18,5,0,V44,V98,V code ไม่ตรง: ได้ V44 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0577-44444-5R-0C-V09-D26,ไม่ถูกต้อง,577,4,4,4,4,4,20,5,0,V09,V18,V code ไม่ตรง: ได้ V09 แต่ควรเป็น V18 → อาจเป็นรหัสปลอม!
TK-0156-43434-5R-0C-V68-D26,ไม่ถูกต้อง,156,4,3,4,3,4,18,5,0,V68,V99,V code ไม่ตรง: ได้ V68 แต่ควรเป็น V99 → อาจเป็นรหัสปลอม!
TK-0139-43344-5R-0C-V13-D26,ไม่ถูกต้อง,139,4,3,3,4,4,18,5,0,V13,V05,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0104-43444-5R-0C-V72-D26,ไม่ถูกต้อง,104,4,3,4,4,4,19,5,0,V72,V99,V code ไม่ตรง: ได้ V72 แต่ควรเป็น V99 → อาจเป็นรหัสปลอม!
TK-0613-33344-5R-0C-V66-D26,ไม่ถูกต้อง,613,3,3,3,4,4,17,5,0,V66,V99,V code ไม่ตรง: ได้ V66 แต่ควรเป็น V99 → อาจเป็นรหัสปลอม!
TK-0582-43344-5R-0C-V96-D26,ไม่ถูกต้อง,582,4,3,3,4,4,18,5,0,V96,V07,V code ไม่ตรง: ได้ V96 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0377-44444-5R-0C-V47-D26,ไม่ถูกต้อง,377,4,4,4,4,4,20,5,0,V47,V16,V code ไม่ตรง: ได้ V47 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0382-43343-5R-0C-V48-D26,ไม่ถูกต้อง,382,4,3,3,4,3,17,5,0,V48,V01,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0022-43444-5R-0C-V10-D26,ไม่ถูกต้อง,22,4,3,4,4,4,19,5,0,V10,V98,V code ไม่ตรง: ได้ V10 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0072-44444-5R-0C-V87-D26,ไม่ถูกต้อง,72,4,4,4,4,4,20,5,0,V87,V08,V code ไม่ตรง: ได้ V87 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0133-44444-5R-0C-V50-D26,ไม่ถูกต้อง,133,4,4,4,4,4,20,5,0,V50,V06,V code ไม่ตรง: ได้ V50 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
TK-0025-43444-5R-0C-V21-D26,ไม่ถูกต้อง,25,4,3,4,4,4,19,5,0,V21,V01,V code ไม่ตรง: ได้ V21 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0060-44344-5R-0C-V40-D26,ไม่ถูกต้อง,60,4,4,3,4,4,19,5,0,V40,V03,V code ไม่ตรง: ได้ V40 แต่ควรเป็น V03 → อาจเป็นรหัสปลอม!
TK-0302-43434-5R-OC-V67-D26,ไม่ถูกต้อง,,0,0,0,0,0,0,0,0,,,รูปแบบรหัสไม่ถูกต้อง (ต้องเป็น TK-XXXX-XXXXX-XR-XC-VXX-D26)
TK-0059-44444-5R-0C-V21-D26,ไม่ถูกต้อง,59,4,4,4,4,4,20,5,0,V21,V13,V code ไม่ตรง: ได้ V21 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0283-44444-5R-0C-V20-D26,ไม่ถูกต้อง,283,4,4,4,4,4,20,5,0,V20,V12,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0024-33344-5R-0C-V30-D26,ไม่ถูกต้อง,24,3,3,3,4,4,17,5,0,V30,V95,V code ไม่ตรง: ได้ V30 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0135-44444-5R-0C-V52-D26,ไม่ถูกต้อง,135,4,4,4,4,4,20,5,0,V52,V08,V code ไม่ตรง: ได้ V52 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0404-44444-5R-0C-V92-D26,ไม่ถูกต้อง,404,4,4,4,4,4,20,5,0,V92,V07,V code ไม่ตรง: ได้ V92 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0147-43444-5R-0C-V40-D26,ไม่ถูกต้อง,147,4,3,4,4,4,19,5,0,V40,V06,V code ไม่ตรง: ได้ V40 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
